"","Time","Scenario","0_5","5_10","10_15","15_20","20_25","25_30","30_35","35_40","40_45","45_50","50_55","55_60","60_65","65_70","70-75","75+"
"1",1,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2,"Unmitigated",0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"3",3,"Unmitigated",1,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0
"4",4,"Unmitigated",0,0,1,2,0,0,1,0,2,0,0,0,0,0,1,0
"5",5,"Unmitigated",0,2,2,1,1,1,0,1,1,0,0,0,0,0,1,0
"6",6,"Unmitigated",0,2,2,1,0,0,0,2,2,0,0,0,0,0,0,0
"7",7,"Unmitigated",1,4,2,2,0,2,2,1,1,0,1,0,1,0,0,0
"8",8,"Unmitigated",2,5,4,3,2,2,2,0,0,0,1,2,1,0,1,0
"9",9,"Unmitigated",0,2,5,4,3,0,0,3,0,3,2,0,1,0,0,0
"10",10,"Unmitigated",1,1,5,1,5,2,3,0,0,0,0,0,2,0,0,0
"11",11,"Unmitigated",2,2,8,4,3,1,4,3,0,0,1,1,2,1,1,0
"12",12,"Unmitigated",5,3,5,4,7,7,3,2,4,3,0,4,0,0,0,0
"13",13,"Unmitigated",3,7,8,10,1,2,4,4,1,3,0,1,0,0,1,0
"14",14,"Unmitigated",6,8,14,15,7,3,4,3,3,1,1,4,0,1,2,2
"15",15,"Unmitigated",6,16,10,10,2,4,8,6,6,2,4,1,2,0,0,0
"16",16,"Unmitigated",10,13,9,12,7,12,5,1,6,2,7,1,5,1,1,0
"17",17,"Unmitigated",16,16,21,21,13,10,6,8,6,4,6,0,8,1,1,2
"18",18,"Unmitigated",16,24,33,17,10,11,12,12,9,2,5,3,1,1,0,1
"19",19,"Unmitigated",15,17,31,20,11,7,13,16,7,6,4,5,10,2,2,2
"20",20,"Unmitigated",19,24,36,22,25,7,13,14,8,7,2,5,4,5,1,0
"21",21,"Unmitigated",23,37,42,35,31,17,15,15,19,7,4,8,3,9,3,1
"22",22,"Unmitigated",29,40,58,47,24,22,14,20,14,8,9,7,7,6,3,4
"23",23,"Unmitigated",35,46,71,48,36,36,28,29,20,11,16,9,5,7,6,1
"24",24,"Unmitigated",61,60,66,67,44,40,37,28,30,22,10,13,10,9,10,3
"25",25,"Unmitigated",48,74,93,91,57,46,49,43,28,23,8,18,13,13,10,2
"26",26,"Unmitigated",78,88,130,114,64,58,42,34,46,19,24,17,13,15,11,9
"27",27,"Unmitigated",88,115,168,119,90,64,66,46,46,28,17,21,24,18,13,8
"28",28,"Unmitigated",108,131,193,155,100,84,71,72,56,54,33,22,27,17,10,11
"29",29,"Unmitigated",115,186,222,172,130,102,97,81,72,56,31,41,36,15,19,11
"30",30,"Unmitigated",160,246,265,216,161,108,98,107,91,45,47,35,36,26,13,16
"31",31,"Unmitigated",162,275,341,274,172,151,144,152,94,74,61,41,40,23,22,27
"32",32,"Unmitigated",257,332,409,328,212,175,142,152,120,77,67,54,48,29,33,16
"33",33,"Unmitigated",285,407,499,439,254,205,212,202,150,105,68,74,65,36,35,16
"34",34,"Unmitigated",338,502,581,474,356,252,234,215,174,138,98,77,74,51,61,27
"35",35,"Unmitigated",435,626,777,576,371,288,318,308,191,127,96,104,84,67,50,36
"36",36,"Unmitigated",547,754,947,730,478,360,368,384,272,184,143,146,109,90,81,38
"37",37,"Unmitigated",562,961,1018,911,606,463,464,393,330,227,170,166,118,104,82,65
"38",38,"Unmitigated",730,1117,1370,1072,703,563,558,478,408,242,235,182,151,144,102,80
"39",39,"Unmitigated",927,1393,1655,1304,931,675,697,654,490,331,250,207,196,143,107,88
"40",40,"Unmitigated",1146,1592,2025,1570,960,839,747,722,604,372,295,264,225,162,156,88
"41",41,"Unmitigated",1321,2017,2434,1964,1294,1024,976,950,730,452,362,320,265,210,162,121
"42",42,"Unmitigated",1606,2447,2939,2358,1564,1187,1213,1087,845,570,449,444,315,276,197,149
"43",43,"Unmitigated",1962,2949,3667,2805,1910,1451,1448,1398,1080,707,563,467,417,333,215,168
"44",44,"Unmitigated",2364,3690,4284,3504,2352,1746,1783,1667,1277,801,603,549,475,423,278,215
"45",45,"Unmitigated",2913,4526,5478,4157,2762,2227,2148,1987,1547,1019,794,754,633,471,344,290
"46",46,"Unmitigated",3524,5539,6450,5085,3377,2656,2522,2456,1966,1289,979,944,739,577,457,325
"47",47,"Unmitigated",4363,6530,7815,6028,4049,3293,3043,2993,2218,1436,1196,1044,932,709,502,402
"48",48,"Unmitigated",5348,8156,9437,7433,4951,3804,3850,3475,2853,1801,1403,1343,1137,899,642,508
"49",49,"Unmitigated",6400,9786,11316,9191,6043,4588,4574,4299,3366,2205,1646,1616,1302,1033,750,584
"50",50,"Unmitigated",7825,11747,14035,10795,7112,5678,5467,5268,4065,2568,2041,1892,1661,1215,908,742
"51",51,"Unmitigated",9410,13924,16550,13177,8542,6699,6576,6171,4901,3211,2491,2311,1908,1554,1098,830
"52",52,"Unmitigated",11213,17105,20139,15834,10504,8271,7939,7614,5937,3813,3042,2700,2274,1866,1303,1044
"53",53,"Unmitigated",13705,20381,24033,19098,12524,9679,9602,9151,7057,4683,3668,3256,2714,2158,1563,1209
"54",54,"Unmitigated",16381,24489,28486,22610,14918,11755,11353,10921,8452,5523,4412,3831,3278,2587,1917,1430
"55",55,"Unmitigated",19679,29420,33974,26701,17978,14081,13640,12773,10238,6505,5022,4614,3939,3014,2115,1666
"56",56,"Unmitigated",23070,34348,40149,31760,21508,16605,16020,15244,11780,7905,5922,5336,4616,3490,2485,2099
"57",57,"Unmitigated",27824,40873,47090,36916,25116,19678,19223,18052,13889,9371,7348,6452,5380,4184,2933,2416
"58",58,"Unmitigated",32812,48128,55213,43732,29485,23158,22171,21080,16089,10727,8255,7506,6144,4885,3377,2801
"59",59,"Unmitigated",38760,55895,63400,50479,34496,26993,25874,24485,18702,12600,9912,8567,7007,5452,3842,3263
"60",60,"Unmitigated",45294,64577,72322,58432,40148,31011,29850,27940,21775,14641,11359,9679,8067,6237,4450,3672
"61",61,"Unmitigated",52232,74108,82104,65950,45732,35807,34184,31859,24760,16990,12674,11039,9063,6948,4900,4181
"62",62,"Unmitigated",59918,83373,91761,74072,51900,40618,38493,35379,27662,18879,14364,12320,9725,7612,5228,4494
"63",63,"Unmitigated",68231,93725,101166,82448,58336,45483,43256,39205,30699,20981,16073,13513,11010,8413,5641,5001
"64",64,"Unmitigated",76972,103086,108728,89542,64255,50914,47476,42895,33184,23434,17673,14826,11718,8706,6100,5312
"65",65,"Unmitigated",84852,111816,116619,95998,70196,54988,51355,46327,35856,25269,19133,15702,12518,9148,6323,5658
"66",66,"Unmitigated",93316,118750,121965,102128,74828,59218,54355,48161,38128,27249,19945,16562,12763,9151,6453,5956
"67",67,"Unmitigated",100953,124572,125885,105714,78855,62737,56858,49850,40040,27902,20796,17206,12753,9346,6339,5917
"68",68,"Unmitigated",106725,129146,126710,107426,81270,65256,58374,50872,40439,28883,21384,17081,13038,9269,6165,6060
"69",69,"Unmitigated",111872,131269,126025,107594,82722,66728,58684,50452,40452,29231,21843,17367,12520,8807,5786,5859
"70",70,"Unmitigated",114915,130244,122022,104935,82991,67719,58595,49447,40062,29030,21327,16449,11901,8118,5502,5677
"71",71,"Unmitigated",117066,127556,115801,100949,81654,66230,57067,47774,38481,28166,20697,15742,11161,7570,5011,5194
"72",72,"Unmitigated",116045,122316,108552,95744,78978,63958,54637,45159,36763,27250,19449,14633,10387,6757,4541,4750
"73",73,"Unmitigated",114940,115879,99811,88799,74238,61311,51042,41334,34200,25653,18420,13481,9111,6035,3886,4423
"74",74,"Unmitigated",110177,107303,90216,81123,69548,57061,46978,37750,31396,23949,16872,12140,8093,5287,3401,4145
"75",75,"Unmitigated",105272,98931,80402,73615,64238,53518,43063,34006,28249,21676,15268,10645,7183,4494,2965,3464
"76",76,"Unmitigated",98707,89456,70977,65425,57812,48454,38731,30280,25392,19677,13785,9525,6100,3796,2348,3107
"77",77,"Unmitigated",91820,80080,61603,57102,51993,44286,34241,26510,22248,17738,12237,8382,5223,3156,2073,2673
"78",78,"Unmitigated",83982,70715,52541,49673,46568,39171,30516,23272,19480,15609,10658,7136,4385,2649,1694,2193
"79",79,"Unmitigated",76085,62029,44892,43367,40341,34192,26352,19830,16815,13513,9228,6024,3702,2176,1356,1940
"80",80,"Unmitigated",69122,53886,37885,36921,35230,30129,22691,16892,14177,12073,8150,5201,3096,1766,1064,1523
"81",81,"Unmitigated",60906,46234,32139,31200,30682,26015,19383,14113,12257,10174,6710,4284,2647,1447,889,1354
"82",82,"Unmitigated",53769,39745,26669,26416,26485,22789,16658,11948,10387,8521,5785,3604,2140,1086,734,1116
"83",83,"Unmitigated",47073,33585,22049,22189,22544,19355,13989,10130,8796,7435,4992,3020,1649,887,614,954
"84",84,"Unmitigated",41290,28396,18395,18513,18978,16627,11704,8284,7447,6313,4160,2556,1384,736,454,789
"85",85,"Unmitigated",35909,24246,15225,15381,15856,14176,10019,6992,6207,5296,3438,1974,1075,603,337,585
"86",86,"Unmitigated",30842,20121,12567,12741,13891,11693,8465,5678,4997,4480,2941,1698,963,487,291,507
"87",87,"Unmitigated",26419,17067,10276,10566,11571,10031,6925,4807,4131,3743,2302,1401,713,396,252,403
"88",88,"Unmitigated",22743,14102,8439,8937,9613,8493,5898,4001,3581,3169,2018,1140,561,299,181,309
"89",89,"Unmitigated",19321,11854,7027,7246,7958,7158,4700,3205,2876,2699,1648,937,455,250,156,293
"90",90,"Unmitigated",16433,9897,5745,6051,6770,5816,4058,2676,2402,2173,1417,774,391,214,140,219
"91",91,"Unmitigated",13965,8162,4616,4873,5611,4976,3321,2225,2005,1765,1116,624,299,145,88,168
"92",92,"Unmitigated",11570,6893,3834,4059,4682,4194,2865,1808,1661,1451,888,484,263,125,84,150
"93",93,"Unmitigated",9930,5688,3131,3284,3797,3401,2351,1412,1328,1321,770,433,210,106,66,132
"94",94,"Unmitigated",8355,4621,2556,2810,3140,2948,1911,1202,1170,1056,669,358,173,77,33,98
"95",95,"Unmitigated",7053,3832,2091,2263,2688,2417,1586,1039,973,836,536,268,131,46,32,70
"96",96,"Unmitigated",5856,3251,1761,1870,2268,1971,1271,880,721,693,482,232,117,53,28,60
"97",97,"Unmitigated",4942,2642,1482,1591,1904,1601,1034,678,573,608,364,206,97,46,21,43
"98",98,"Unmitigated",4107,2206,1217,1253,1584,1360,925,505,483,504,293,127,64,41,20,47
"99",99,"Unmitigated",3469,1772,1011,1060,1304,1161,723,476,396,412,260,125,56,31,20,30
"100",100,"Unmitigated",2934,1539,790,828,1081,942,604,367,345,365,200,114,59,28,12,29
"101",101,"Unmitigated",2349,1263,630,727,929,813,518,326,293,273,179,87,33,25,11,31
"102",102,"Unmitigated",1976,1111,504,602,728,680,435,266,248,215,143,61,28,23,12,26
"103",103,"Unmitigated",1675,805,460,502,578,561,312,252,166,196,124,57,30,15,1,14
"104",104,"Unmitigated",1345,689,377,407,511,466,303,174,179,166,101,56,21,16,2,18
"105",105,"Unmitigated",1135,606,306,307,422,347,232,148,149,126,82,45,11,4,5,13
"106",106,"Unmitigated",957,478,241,293,342,294,178,131,121,110,69,34,20,8,6,7
"107",107,"Unmitigated",726,393,206,234,293,244,174,94,97,83,63,33,14,5,5,14
"108",108,"Unmitigated",642,318,162,192,220,198,128,95,71,81,45,21,12,3,2,11
"109",109,"Unmitigated",560,254,151,139,185,163,109,62,65,58,27,25,8,2,0,6
"110",110,"Unmitigated",470,206,125,149,152,144,86,55,63,46,37,16,8,1,1,5
"111",111,"Unmitigated",346,191,94,131,143,131,72,36,40,35,19,10,6,1,1,1
"112",112,"Unmitigated",309,160,83,75,113,118,57,42,41,30,20,10,5,2,1,2
"113",113,"Unmitigated",245,134,62,72,96,92,43,32,24,18,11,7,6,0,1,2
"114",114,"Unmitigated",213,102,54,56,75,85,52,22,36,29,15,5,4,2,0,7
"115",115,"Unmitigated",169,89,40,57,57,73,37,25,25,12,21,5,2,0,0,2
"116",116,"Unmitigated",144,85,31,49,39,40,41,10,17,19,10,7,2,1,1,1
"117",117,"Unmitigated",138,60,25,35,43,39,26,13,14,5,4,2,0,2,1,0
"118",118,"Unmitigated",116,46,15,28,34,30,21,13,8,8,6,3,1,2,1,2
"119",119,"Unmitigated",70,42,22,21,22,26,21,9,13,9,5,4,0,1,0,0
"120",120,"Unmitigated",81,41,10,23,24,22,13,11,9,6,3,0,1,2,0,0
"121",121,"Unmitigated",55,34,12,12,16,18,16,6,7,7,2,2,3,0,0,0
"122",122,"Unmitigated",39,31,6,12,13,15,6,9,6,3,4,5,2,0,0,0
"123",123,"Unmitigated",27,19,12,11,13,10,5,6,7,1,4,1,0,0,0,2
"124",124,"Unmitigated",40,21,8,12,9,12,7,7,3,4,1,0,2,0,0,1
"125",125,"Unmitigated",33,13,6,7,15,10,4,2,2,2,0,0,0,0,0,0
"126",126,"Unmitigated",17,13,11,6,8,4,6,3,4,0,1,1,0,0,0,0
"127",127,"Unmitigated",17,10,6,7,7,7,7,3,4,4,0,0,1,0,0,0
"128",128,"Unmitigated",23,7,2,4,1,6,0,1,2,0,1,0,0,0,0,0
"129",129,"Unmitigated",17,4,6,7,4,2,3,0,1,1,0,1,1,0,0,0
"130",130,"Unmitigated",16,6,2,1,4,10,2,1,0,1,3,0,0,0,0,0
"131",131,"Unmitigated",6,4,2,1,2,2,0,1,1,1,0,1,0,0,0,0
"132",132,"Unmitigated",5,5,2,1,1,1,1,0,0,0,1,0,0,0,0,0
"133",133,"Unmitigated",3,3,1,1,1,1,2,2,1,1,0,0,0,0,0,0
"134",134,"Unmitigated",5,1,0,1,0,2,2,0,0,0,1,0,0,0,0,0
"135",135,"Unmitigated",3,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0
"136",136,"Unmitigated",3,3,0,2,1,1,1,0,0,1,0,0,0,0,0,0
"137",137,"Unmitigated",8,0,1,3,0,1,1,0,0,1,0,0,0,0,0,0
"138",138,"Unmitigated",5,1,0,0,1,2,0,0,3,1,0,0,0,0,0,0
"139",139,"Unmitigated",1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
"140",140,"Unmitigated",4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"141",141,"Unmitigated",4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"142",142,"Unmitigated",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"143",143,"Unmitigated",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"144",144,"Unmitigated",1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0
"145",145,"Unmitigated",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"146",146,"Unmitigated",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"147",147,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"148",148,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149",149,"Unmitigated",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"150",150,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"151",151,"Unmitigated",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"152",152,"Unmitigated",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"153",153,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"154",154,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155",155,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"156",156,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"157",157,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158",158,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"159",159,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160",160,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"161",161,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162",162,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"163",163,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"164",164,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"165",165,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"166",166,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"167",167,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"168",168,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"169",169,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170",170,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"171",171,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"172",172,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"173",173,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"174",174,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"175",175,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"176",176,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"177",177,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"178",178,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"179",179,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"180",180,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"181",181,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"182",182,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"183",183,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"184",184,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185",185,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"186",186,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"187",187,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"188",188,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"189",189,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"190",190,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"191",191,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"192",192,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"193",193,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"194",194,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"195",195,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"196",196,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"197",197,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198",198,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"199",199,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200",200,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"201",201,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"202",202,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"203",203,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"204",204,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"205",205,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"206",206,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"207",207,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"208",208,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"209",209,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"210",210,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"211",211,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"212",212,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"213",213,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"214",214,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"215",215,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"216",216,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"217",217,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"218",218,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"219",219,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"220",220,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"221",221,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"222",222,"Unmitigated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
