"Code","Country_ECDC","Region","Income_group","ACAPS_suppression_number","ACAPS_reference","Description","source","Date_suppression","Date_lastACAPSifnosuppression","WPP_Population","end_exp_growth","deaths_at_end_exponential","cases_at_end_exponential","cases_per_death"
"ABW","Aruba","Latin America & Caribbean","High income",4,"NA","NA","NA",NA,NA,106.766,NA,NA,NA,NA
"AFG","Afghanistan","South Asia","Low income",1,"4276","Kabul locked down","https://af.usembassy.gov/message-for-u-s-citizens-movement-restrictions-in-kabul-march-27-2020/",2020-03-28,NA,38928.341,2020-03-28,2,91,NA
"AGO","Angola","Sub-Saharan Africa","Lower middle income",1,"4117","President tells people to stay home","http://www.angop.ao/angola/en_us/noticias/politica/2020/3/14/Covid-President-tells-people-stay-home,e42fa125-9e0f-4009-9f5e-d9f66bbecbcf.html",2020-04-01,NA,32866.268,2020-04-01,2,7,NA
"ALB","Albania","Europe & Central Asia","Upper middle income",1,"1940","16-hour curfew. Individuals are only allowed to leave their homes from 05:00 to 13:00. All movement is prohibited outside of those windows, including both vehicular traffic and pedestrian movement. Exceptions are made","https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS",2020-03-23,NA,2877.8,2020-03-23,2,89,NA
"AND","Andorra","Europe & Central Asia","High income",4,"NA","NA","NA",NA,NA,NA,NA,NA,NA,NA
"ARE","United Arab Emirates","Middle East & North Africa","High income",1,"5293","national sanitation programme declared effective for 24 hours a day until 4 April. Individuals are prohibited from leaving their homes during the cleaning and disinfection programme, except for essential purposes or if they work in a vital sector.","https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS",2020-03-26,NA,9890.4,2020-03-26,2,333,NA
"ARG","Argentina","Latin America & Caribbean","Upper middle income",1,"878","Until 31st of March included, travels are restricted excepted for valid reasons and population is forced to quarantine. Limited quarantine exemptions include movement to obtain food and medical care and travel to the international airport for ticketed passengers only. Enforced by the police.","https://www.argentina.gob.ar/coronavirus/medidas-gobierno",2020-03-19,NA,45195.777,2020-03-19,2,97,NA
"ARM","Armenia","Europe & Central Asia","Upper middle income",1,"3749","Domestic movement remains possible with official documentation; anyone travelling outside their home is required to carry their passport or official ID, as well as a completed movement questionnaire or a permit provided by an employer.","https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS",2020-03-24,NA,2963.234,2020-03-24,0,194,NA
"ASM","American Samoa","East Asia & Pacific","Upper middle income",4,"NA","NA","NA",NA,NA,NA,NA,NA,NA,NA
"ATG","Antigua and Barbuda","Latin America & Caribbean","High income",1,"4660","curfew from 8pm to 6 am beginning March 28 to end April 11; defense force will patrol streets to ensure compliance (""persons in contravention are liable to pay a fine of $5,000.00 or imprisomnment for 6 months or both fine and imprisonment","https://ab.gov.ag/pdf/covid_news/mar_27_2020_State_of_Emergency_in_Antigua_and_Barbuda.pdf",2020-03-28,NA,97.928,2020-03-28,0,7,NA
"AUS","Australia","East Asia & Pacific","High income",1,"3521","Australia goes into level 3 shutdown: Everyone should stay home unless you are: shopping for essentials, receiving medical care, exercising or travelling to work or education","https://www.pm.gov.au/media/national-cabinet-statement",2020-03-29,NA,25499.881,2020-03-29,14,3809,272.071428571429
"AUT","Austria","Europe & Central Asia","High income",1,"405","Citizens are suspend all non-essential activities outside their homes and stay in their homes for the duration for one week; ecemptions are essential work, for essential shopping or services, helping someone else, physical activity if alone or with co-living persons","https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html",2020-03-16,NA,9006.4,2020-03-16,1,860,NA
"AZE","Azerbaijan","Europe & Central Asia","Upper middle income",1,"4741","only allowed to leave place of residences under certain specific circumstances: employed as essentail workers; to seek medical assistance; go to grocery store, pharmacy, bank, postal service, attend funeral of close relative (BASED ON PERMISSION VIA SMS: send text to dedicated number with code for activity you want permission to go out for; different codes for citizens vs. foreigners currently in country. no need for permission in case of urgent life threatening matters; first from 24/03 then extended measures from 05/04. to last until 20/04","https://azerbaijan.travel/covid-19-en",2020-03-24,NA,10139.175,2020-03-24,1,72,NA
"BDI","Burundi","Sub-Saharan Africa","Low income",3,"NA","NA","NA",NA,2020-04-04,11890.781,2020-04-04,0,3,NA
"BEL","Belgium","Europe & Central Asia","High income",1,"894","Police enforced general lock-down limiting the leaving of ones home only for emergencies, helping others and essential errands. Gathering and meetings are prohibited. Companies required to organize telework where possible, without exeption. Measures set to last until 5th April.","https://www.belgium.be/nl/nieuws/2020/coronavirus_versterkte_maatregelen",2020-03-18,NA,11589.616,2020-03-18,5,1243,248.6
"BEN","Benin","Sub-Saharan Africa","Low income",1,"2096","Towns of Cotonou, Abomey-Calavi, Allada, Ouidah, Sèmè-Podji, Porto-Novo, Akpro-Missérété and Adjarra are under lockdown and isolated from the rest of the country by checkpoints.","https://www.gouv.bj/coronavirus/mesures/",2020-03-23,NA,12123.198,2020-03-23,0,2,NA
"BFA","Burkina Faso","Sub-Saharan Africa","Low income",1,"2431","From 1900 to 0500 (curfew)","https://www.gov.uk/foreign-travel-advice/burkina-faso",2020-03-21,NA,20903.278,2020-03-21,1,40,NA
"BGD","Bangladesh","South Asia","Lower middle income",3,"NA","NA","NA",NA,2020-03-16,164689.383,2020-03-16,0,3,NA
"BGR","Bulgaria","Europe & Central Asia","Upper middle income",3,"NA","NA","NA",NA,2020-03-18,6948.445,2020-03-18,2,81,NA
"BHR","Bahrain","Middle East & North Africa","High income",1,"2957","Curfew 18.00 to 05.00 - Police enforced. ","https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS",2020-03-26,NA,1701.583,2020-03-26,3,419,139.666666666667
"BHS","Bahamas","Latin America & Caribbean","High income",1,"4774","24-hour curfew, with some exceptions for essential workers and movement. March 24-31","http://www.bahamas.gov.bs/wps/portal/public/gov/government/news/department%20of%20environmental%20health%20services%20disinfecting%20to%20limit%20spread%20of%20covid-19/!ut/p/b1/vZTJrqNIEEW_5X0Az2QyepmY0YCZJ28QkzFgBmMwhq8vv5Zaqq5Sd_WiqzNXKd3QVdw4kbvzLgKAxHFAA0Dtwt25S55VmUxV3yW3r_eZjglc0hEiWZ0VaYQrHiESlIoIyQJvQfS9QKJw-i0wNWQyMjRI_N_V439z0C_rg10oezTDP5SFNxdfe8H6Kiq9fGn0QOSU7hT1eTJG6rg3184yiTNhmDO-PSSahsKlA8Ox6FNUJVjRR4H_2IxMr0WMGxNF8fWt59xHmF1OPqASqSk5agAj2fAMX9bMiPojGEh0aCKLjHy-klIbDYPnDQeCLjSbh06b4NBN-4wwJVHsqZFVRYOo8ebSmXzvpg_zyHMmPHdauCQW9nzkbR00NIxDOF9YBA5iP5cfH7voHQLzfcYG-w6BcU1EwXdG1M7dhXVEnJKHvgiKfbHt7OInID4XeVuUJdWiNPEGVfMSG2hHdFPWxtgbzbhfmsOBmbdN3-Rxft0Xor5FSyf3BTbmdR3IK8yezy6cE1YrNbK47GmZLV4vHCPtbVaNLu5DAlI33m3VsosyCfTA9vJ0u_piGfi-g7z8IKfHhIqUeAm64VRrs2JTQi4_huTpVTfibpWCwh3GVL3n_nVtVNcLOmsCZPGUBpW4EAucecZUvRUKfuZSzUO7DjedkiZe4Ls0IdoDdeU1meQlF0hIeyUiEjaBv6rdK2uGmawSPp_kHN5Y1ZKi4KgvXX9a8ZegBvx0NdW7AXNbKPSwsxrF9dQpKW6QcaoiK4JpWrt4MWscFvkbtPNfWfwBdRX-QvC1C38I_gH2k9y3xU_zdn0cVwCObAdYOMswX_PGydip10HZms2uNws4tbA4wgJwAUKdl71TKuqnXAUnHm24h29O06zccj8PoEloLKPVqj8gHSNbvvkJMAO6-7fhAdCqR-GORPxuwx-Jpn-XoWTo1uGrQ5f76pCQZURrhCGA_9vwv4_0uDtXafu5ZO0n_kmRgKL2AO5pyEAGMDt_8jAmLfUXbz58zSbdGRpbXrByqOmecXuGAoZCzQiyuINef42twdYHq1KGZ1yZYepfQpm7bl3XTudXra5M5tBMZV3ZaT5zlpeyzGxzqZ-M93GLm7GjXn3qTizIidIC8jEwIh04CeqgdUCbepWUoHJ7Q0ujU2oZd47cB916aiFqN6ZCON-TTSNWZHp1fPqV9yW7imJmZboLn9H2IDufKuI8xlrNVgl4i6o9LXH2WIDHZkutYF8w2GNs47QgxoYgwoiJLZyBsoyvz7Q930SNGmlbXgD7513Qxzd6efKn/dl4/d5/L2dBISEvZ0FBIS9nQSEh/",2020-03-24,NA,393.248,2020-03-24,0,4,NA
"BIH","Bosnia and Herzegovina","Europe & Central Asia","Upper middle income",1,"2765","24 hours curfew for those 65+ and a general curfew of 2000 to 0500","https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS",2020-03-19,NA,3280.815,2020-03-19,0,36,NA
"BLR","Belarus","Europe & Central Asia","Upper middle income",3,"NA","NA","NA",NA,2020-03-20,9449.321,2020-03-20,0,57,NA
"BLZ","Belize","Latin America & Caribbean","Upper middle income",3,"NA","NA","NA",NA,2020-03-23,397.621,NA,NA,NA,NA
"BMU","Bermuda","North America","High income",4,"NA","NA","NA",NA,NA,NA,NA,NA,NA,NA
"BOL","Bolivia","Latin America & Caribbean","Lower middle income",1,"973","All public and private actvities are suspended until 15th of April, with few exceptions.","https://bo.usembassy.gov/covid-19-information/",2020-03-17,NA,11673.029,2020-03-17,0,11,NA
"BRA","Brazil","Latin America & Caribbean","Upper middle income",2,"NA","NA","NA",NA,NA,212559.409,2020-03-21,11,904,82.1818181818182
"BRB","Barbados","Latin America & Caribbean","High income",1,"5199","curfew for all nonessential workers from march 28 to april 14 from 6pm to 6 am","https://gisbarbados.gov.bb/blog/emergency-management-covid-19-curfew-no-2-directive-2020/",2020-04-03,NA,287.371,2020-04-03,0,45,NA
"BRN","Brunei Darussalam","East Asia & Pacific","High income",3,"NA","NA","NA",NA,2020-03-21,437.483,2020-03-21,0,78,NA
"BTN","Bhutan","South Asia","Lower middle income",3,"NA","NA","NA",NA,2020-03-06,771.612,2020-03-06,0,1,NA
"BWA","Botswana","Sub-Saharan Africa","Upper middle income",1,"3926","28 day extreme social distancing will occur where people may only leave the home to perform essential services or for collecting social protection packages, purchase of usual household or agricultural supplies, and seeking emergency, lifesaving or chronic medical attention. Forms will be necessary to prove ones reaosn to leave the home.","https://www.facebook.com/BotswanaGovernment/?__tn__=kCH-R&eid=ARBs0Bkkj66hQ0oLllLK_mYzk5NTsyNQ_WP-ly6-PhnbB7US8bS-Nvh2Y_VzgeCgcF2TytqEIMOzayub&hc_ref=ARSsKjrsRAoK9JujmCjfxcq-Z-F8Rvm4LMKPIAVeSpm24BCsQi9svLmrgKg8PDMtRG4&fref=nf",2020-04-02,NA,2351.625,2020-04-02,1,4,NA
"CAF","Central African Republic","Sub-Saharan Africa","Low income",3,"NA","NA","NA",NA,2020-04-08,4829.764,2020-04-08,0,9,NA
"CAN","Canada","North America","High income",3,"NA","NA","NA",NA,2020-03-25,37742.157,2020-03-25,27,1959,72.5555555555556
"CHE","Switzerland","Europe & Central Asia","High income",1,"2388","Maximum 5 person gatherings are allowed","https://www.swissinfo.ch/eng/covid-19-_-geneva-bans-gatherings-of-more-than-five-people-/45619940",2020-03-20,NA,8654.618,2020-03-20,33,3888,117.818181818182
"CHI","Channel Islands","Europe & Central Asia","High income",4,"NA","NA","NA",NA,NA,173.859,NA,NA,NA,NA
"CHL","Chile","Latin America & Caribbean","High income",1,"2572","Nationwide curfew between the hours of 2200 and 0500 until further notice.","https://www.gov.uk/foreign-travel-advice/chile",2020-03-22,NA,19116.209,2020-03-22,0,537,NA
"CHN","China","East Asia & Pacific","Upper middle income",2,"NA","NA","NA",NA,NA,1439323.774,2020-01-22,17,499,29.3529411764706
"CIV","Cote d'Ivoire","Sub-Saharan Africa","Lower middle income",1,"2711","National curfew between 2100 and 0500.","https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/cote-d-ivoire/",2020-03-24,NA,26378.275,2020-03-24,0,25,NA
"CMR","Cameroon","Sub-Saharan Africa","Lower middle income",3,"NA","NA","NA",NA,2020-04-04,26545.864,2020-04-04,8,509,63.625
"COD","Democratic Republic of Congo","Sub-Saharan Africa","Low income",3,"NA","NA","NA",NA,2020-04-06,89561.404,2020-04-06,18,154,8.55555555555556
"COG","Republic of the Congo","Sub-Saharan Africa","Lower middle income",1,"3651","The entire population must confine at home for 30 days, with exception made for essential travels (buying food or medical transportation). All non essential shops are closed.","http://nwzkbpn.cluster023.hosting.ovh.net/storage/app/public/files/D%C3%A9claration%20du%20Pr%C3%A9sident%20de%20la%20R%C3%A9publique%20sur%20le%20Coronavirus%20Covid-19-2020-03-30-5e82280983017.pdf",2020-03-31,NA,5518.092,2020-03-31,0,19,NA
"COL","Colombia","Latin America & Caribbean","Upper middle income",1,"2580","National forced quarantine and confinment until 12th of april.","https://coronaviruscolombia.gov.co/Covid19/acciones-20-marzo.html",2020-03-24,NA,50882.884,2020-03-24,3,306,102
"COM","Comoros","Sub-Saharan Africa","Lower middle income",3,"NA","NA","NA",NA,2020-04-09,869.595,NA,NA,NA,NA
"CPV","Cabo Verde","Sub-Saharan Africa","Lower middle income",1,"3055","all public services and companies are closed throughout the national territory, unless they are related to essential services. Depending on the circumstances, teleworking and work from home can be used, but under no circumstances will workers be harmed in their employment and wages.","https://www.governo.cv/elevamos-o-nivel-de-contingencia-da-protecao-civil-a-situacao-de-risco-de-calamidade-ulisses-correia-e-silva/",2020-03-27,NA,555.988,2020-03-27,1,5,NA
"CRI","Costa Rica","Latin America & Caribbean","Upper middle income",1,"3970","From 8th to 12th of april, all transports, except essential (for food or medicine), are forbidden. All public transports are suspended. Essential travels are limited depending on plate numbers.","https://www.ministeriodesalud.go.cr/index.php/centro-de-prensa/noticias/741-noticias-2020/1594-en-el-marco-de-la-semana-santa-gobierno-refuerza-medidas-para-contener-el-contagio-por-el-covid-19",2020-04-08,NA,5094.114,2020-04-08,2,483,NA
"CUB","Cuba","Latin America & Caribbean","Upper middle income",3,"NA","NA","NA",NA,2020-04-12,11326.616,2020-04-12,16,620,38.75
"CUW","Curacao","Latin America & Caribbean","High income",4,"NA","NA","NA",NA,NA,164.1,NA,NA,NA,NA
"CYM","Cayman Islands","Latin America & Caribbean","High income",4,"NA","NA","NA",NA,NA,NA,NA,NA,NA,NA
"CYP","Cyprus","Europe & Central Asia","High income",1,"2222","partial curfew will be in place for 14 days.  Individuals may only leave their residences to seek goods and services from essential personnel and businesses.  All public sector employees except for the police force, fire department, health, civil aviation, finance and similar services will be under administrative leave until March 27, 2020.  Private sector businesses except those which provide basic needs such as groceries, bakeries, gas stations, pharmacies, etc., will also be closed until at least March 27.  All business hours are restricted from 07:00 to 18:00.","https://cy.usembassy.gov/covid-19-information/",2020-03-23,NA,1207.361,2020-03-23,0,95,NA
"CZE","Czechia","Europe & Central Asia","High income",1,"456","Nationwide quarantine from 16 March until 24 March, except for essential needs, helping others and necessary trips to famillies; extended to last until 11th April","https://cz.usembassy.gov/covid-19-information/",2020-03-16,NA,10708.982,2020-03-16,0,298,NA
"DEU","Germany","Europe & Central Asia","High income",1,"5596","Only essential trips, including for work are still allowed and with more stringent public movement rules","https://www.bundesregierung.de/breg-de/themen/coronavirus/besprechung-der-bundeskanzlerin-mit-den-regierungschefinnen-und-regierungschefs-der-laender-1733248",2020-03-22,NA,83783.945,2020-03-22,67,21463,320.34328358209
"DJI","Djibouti","Middle East & North Africa","Lower middle income",3,"NA","NA","NA",NA,2020-03-18,988.002,NA,NA,NA,NA
"DMA","Dominica","Latin America & Caribbean","Upper middle income",3,"NA","NA","NA",NA,2020-03-26,NA,2020-03-26,0,7,NA
"DNK","Denmark","Europe & Central Asia","High income",1,"1285","Prohibition of events, events, etc. with more than 10 people; provisionally valid until 30th March","https://politi.dk/coronavirus-i-danmark/seneste-tiltag-mod-spredning-af-coronavirus-covid-19",2020-03-18,NA,5792.203,2020-03-18,4,1024,256
"DOM","Dominican Republic","Latin America & Caribbean","Upper middle income",1,"1481","Evening curfew implemented from 20 March until 3 April between the hours of 8pm and 6am. Applies to all persons in the country, except those with specific exemptions.","https://www.gov.uk/foreign-travel-advice/dominican-republic/coronavirus",2020-03-20,NA,10847.904,2020-03-20,0,21,NA
"DZA","Algeria","Middle East & North Africa","Upper middle income",1,"2427","All taxis banned countrywide. Rail and public or private/public transport between wilayas has been suspended as well as public transport within urban centers.","https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS",2020-03-23,NA,43851.043,2020-03-23,17,201,11.8235294117647
"ECU","Ecuador","Latin America & Caribbean","Upper middle income",1,"1483","Stict confinement with a curfew from 9pm to 5am.","https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/equateur/",2020-03-17,NA,17643.06,2020-03-17,2,58,NA
"EGY","Egypt","Middle East & North Africa","Lower middle income",1,"2225","two weeks the Government of Egypt will begin enforcing a nighttime curfew from 7:00 p.m. to 6:00 a.m. Anyone who violates the curfew could face a 4000 EGP fine or possible imprisonment.","https://eg.usembassy.gov/u-s-citizen-services/covid-19-information/",2020-03-25,NA,102334.403,2020-03-25,19,366,19.2631578947368
"ERI","Eritrea","Sub-Saharan Africa","Low income",1,"2679","Every person should avoid non-essential movement within the city or village of residence as well as travel to other places inside the country.  Every person should likewise avoid travel by bus, mini-bus and taxis unless in emergencies.","http://shabait.com/news/local-news/30342--ministry-of-health-public-guidelines-no-3",2020-03-23,NA,3546.427,2020-03-23,0,1,NA
"ESP","Spain","Europe & Central Asia","High income",1,"712","Movement only allowed for: travel to make essential purchases (food, hygiene, health, first necessity), in strict compliance with basic precautionary measures; travel to his place of work and return to his usual place of residence; travel to access banking services; travel to provide care and assistance to vulnerable people; travel in cases of force majeure.; fines from 100 to 600.000 EUR","https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/espagne",2020-03-16,NA,46754.783,2020-03-16,288,11491,39.8993055555556
"EST","Estonia","Europe & Central Asia","High income",1,"3013","2+2 approach in all public spaces; max. 2 people out together (exception of families or same households) and minimum two meter distance at all times","https://www.kriis.ee/en/news/additional-measures-emergency-situation",2020-03-25,NA,1326.539,2020-03-25,0,369,NA
"ETH","Ethiopia","Sub-Saharan Africa","Low income",1,"5020","The government has banned gatherings of more than four people unless there is an absolute necessity, in which case permits need to be acquired from authorities. Handshakes are also not allowed.","https://www.bbc.com/news/world/africa/live",2020-04-11,NA,114963.583,2020-04-11,2,65,NA
"FIN","Finland","Europe & Central Asia","High income",1,"1329","Public gatherings are limited to no more than ten persons, and it is recommend to avoid spending unnecessary time in public places. Per state of emergency declaration","https://valtioneuvosto.fi/en/article/-/asset_publisher/10616/hallitus-totesi-suomen-olevan-poikkeusoloissa-koronavirustilanteen-vuoksi",2020-03-16,NA,5540.718,2020-03-16,0,267,NA
"FJI","Fiji","East Asia & Pacific","Upper middle income",1,"2816","Fiji will be under a nationwide curfew from 10pm to 5am daily from Mar 30 because Fijians were not taking seriously the advice to restrict movement.","https://www.rnz.co.nz/international/pacific-news/412756/fiji-to-be-under-nationwide-curfew-from-monday",2020-03-30,NA,896.444,2020-03-30,0,5,NA
